date,Strategy,CVX_BuyHold,HYG_BuyHold,Equal_Weight
2021-12-30,95614.30913350744,115040.4908760044,103674.55150896982,109357.52119248711
2021-12-31,95583.7478341689,114962.11605516505,103650.73380350575,109306.4249293354
2022-01-03,96788.71615762339,116833.24792881601,103603.07566575942,110218.16179728771
2022-01-04,98103.91127879139,118959.09138259929,103341.00136179094,111150.04637219512
2022-01-05,98391.32182099516,119733.0108983425,102542.86959715352,111137.94024774802
2022-01-06,98447.28847034344,120751.87478579333,102554.75572306736,111653.31525443034
2022-01-07,98438.68074709967,122485.84413537984,102292.6814190989,112389.26277723938
2022-01-10,98508.91601117305,122564.21895621918,102376.05475163224,112470.13685392571
2022-01-11,98669.02766856576,125366.00242037045,102852.57931205012,114109.29086621029
2022-01-12,98756.17359010168,124739.03898749885,103019.3941575714,113879.21657253512
2022-01-13,98717.93171802122,124219.81348496632,102650.07199856003,113434.94274176317
2022-01-14,98742.08230935277,126335.8809468641,102554.75572306736,114445.31833496573
2022-01-18,98671.34096908402,126747.3158182927,102054.4248205945,114400.87031944361
2022-01-19,98693.47720501793,126286.8955859069,101959.16536214731,114123.0304740271
2022-01-20,98692.58341483926,125836.2425619458,101768.53281116196,113802.38768655388
2022-01-21,98737.74398061281,124327.58654914865,101780.441663894,113054.01410652132
2022-01-24,98754.47179352016,124592.07412116643,101673.22789907838,113132.65101012241
2022-01-25,98726.24445908287,129891.99680914437,101375.39294668652,115633.69487791545
2022-01-26,98686.2469402849,129989.97631451956,101029.9680370029,115509.97217576123
2022-01-27,98705.84194854338,132615.44058629952,100589.19276159932,116602.31667394942
2022-01-28,100490.32670890092,127952.30124038276,100875.11886125914,114413.71005082096
2022-01-31,99965.3294699592,128657.65706101537,100898.90247649593,114778.27976875566
2022-02-01,97288.89324607751,132047.22093934898,101299.41719347432,116673.31906641164
2022-02-02,96610.55927396035,132654.62360498877,101454.86862990013,117054.74611744445
2022-02-03,97183.82007297785,131469.24286743457,100546.20498499121,116007.7239262129
2022-02-04,96475.94818936921,133115.0614042962,100151.69014801523,116633.3757761557
2022-02-07,98214.42989857205,135730.75846765147,100079.94158298652,117905.350025319
2022-02-08,96481.94752155239,133663.66758325006,99972.36418907986,116818.01588616497
2022-02-09,97284.17047099501,134986.20206140797,100498.43321315393,117742.31763728094
2022-02-10,95835.90094279918,133271.82861289656,99171.38020875947,116221.604410828
2022-02-11,97691.8142407378,135985.43491394052,98824.64850702987,117405.0417104852
2022-02-14,95974.89217075706,133888.9721365786,98657.20867400835,116273.09040529348
2022-02-15,95095.35308763446,132908.9574963061,98824.64850702987,115866.80300166798
2022-02-16,94980.38104465787,132948.535770732,99374.56932679529,116161.55254876365
2022-02-17,94853.5738347262,132265.49872402663,98956.13451367336,115610.81661884999
2022-02-18,94858.81265541923,132077.40091070434,99099.60891691258,115588.50491380846
2022-02-22,95479.76606477032,131067.65425557799,98872.45436909444,114970.05431233621
2022-02-23,95369.90750739184,134185.9936474498,98693.13977356817,116439.56671050898
2022-02-24,94730.8171058189,133493.03129002513,99398.51202975941,116445.77165989227
2022-02-25,98685.2692589778,138967.36715937784,99960.42124612053,119463.89420274919
2022-02-28,98548.42913569641,142550.94890362208,100032.13572092194,121291.54231227201
2022-03-01,101654.08265318134,148213.36501937543,99752.55040353739,123982.9577114564
2022-03-02,101654.08265318134,152588.93385825638,99992.51151340609,126290.72268583124
2022-03-03,101702.40071187458,154648.00544293498,99692.57433033158,127170.28988663328
2022-03-04,101804.33833816178,157053.47915517862,99044.56456325419,128049.0218592164
2022-03-07,101904.83194815974,160409.42872897876,98180.60456972678,129295.01664935276
2022-03-08,102002.44249098403,168813.97104303772,97832.64561981488,133323.3083314263
2022-03-09,102096.8070311564,164596.82070339008,98648.57248309579,131622.69659324293
2022-03-10,102187.94994140862,169101.0672431896,97820.63449640098,133460.8508697953
2022-03-11,102276.03601504226,169180.20622511973,97112.66001952688,133146.4331223233
2022-03-14,102361.27414332457,165042.2827020104,95960.70578588429,130501.49424394734
2022-03-15,102443.87819034795,156687.22640617497,96680.68002276319,126683.95321446907
2022-03-16,102524.0512915222,156122.95931659054,98036.63017648738,127079.79474653896
2022-03-17,102601.98020619992,158825.4896735486,98708.59400993798,128767.0418417433
2022-03-18,102677.83406859283,160102.53460815313,99032.57616665849,129567.55538740581
2022-03-21,102751.76502937164,162983.21111733175,97892.63305642978,130437.92208688078
2022-03-22,102823.90964360435,162438.7770822643,98396.60024981319,130417.68866603874
2022-03-23,102894.39047808047,164190.9721130389,98084.65194332477,131137.81202818186
2022-03-24,102963.31769975783,164626.54393478314,98288.62513658818,131457.58453568566
2022-03-25,103030.79054464686,167606.2451811738,97580.67338653227,132593.45928385304
2022-03-28,103096.8986322721,164676.04751992834,98192.5929663225,131434.32024312543
2022-03-29,103141.09077717738,162666.44438655168,99404.58009021638,131035.51223838402
2022-03-30,104308.86261939112,163814.8116202376,99104.58609009639,131459.698855167
2022-03-31,102645.48437790253,161191.45537905287,98744.60465336149,129968.03001620718
2022-04-01,103617.88070333557,162567.47235010454,98737.41161540405,130652.4419827543
2022-04-04,103909.15788469388,162715.9655386185,99484.35122206647,131100.15838034247
2022-04-05,103458.63039761929,161716.12662728984,98195.17246018717,129955.6495437385
2022-04-06,104540.510425799,163151.5197934411,97424.07424578781,130287.79701961446
2022-04-07,106139.77444148346,165418.4958955766,97267.45237822516,131342.97413690088
2022-04-08,107642.44357798772,168219.9807220602,96677.07782207993,132448.52927207007
2022-04-11,105472.69149267643,163893.98573601097,96014.39789386031,129954.19181493565
